model,question_id,dss,correct_alpha,correct_beta,correct_gamma,correct_answer
biomistral,MQ_0284,0.2379,False,False,False,D
biomistral,MQ_0561,0.2649,False,False,False,C
biomistral,MQ_0362,0.3089,False,False,False,B
biomistral,MQ_0011,0.3234,True,False,False,C
biomistral,MQ_0769,0.3385,True,False,False,D
biomistral,MQ_0436,0.3415,False,False,False,A
biomistral,MQ_0999,0.3469,False,False,False,A
biomistral,MQ_0883,0.3505,False,False,False,A
biomistral,MQ_0966,0.3526,False,False,True,A
biomistral,MQ_0026,0.3536,False,False,False,C
biomistral,MQ_0322,0.3593,False,False,False,B
biomistral,MQ_0110,0.3627,False,False,False,D
biomistral,MQ_0834,0.3704,True,True,False,C
biomistral,MQ_0226,0.3736,False,False,False,A
biomistral,MQ_0166,0.3788,False,False,False,B
biomistral,MQ_0475,0.3825,False,False,False,D
biomistral,MQ_0639,0.3866,False,False,False,A
biomistral,MQ_0575,0.3924,True,False,True,A
biomistral,MQ_0325,0.3926,False,False,False,C
biomistral,MQ_0803,0.3988,False,False,False,B
biomistral,MQ_0008,0.4002,True,False,False,B
biomistral,MQ_0359,0.4007,True,False,False,D
biomistral,MQ_0693,0.4021,False,False,False,B
biomistral,MQ_0615,0.4037,False,False,False,C
biomistral,MQ_0641,0.4092,False,False,False,A
biomistral,MQ_0504,0.4095,True,False,False,D
biomistral,MQ_0277,0.412,False,False,False,C
biomistral,MQ_0474,0.412,False,False,False,A
biomistral,MQ_0868,0.415,True,False,False,B
biomistral,MQ_0875,0.4187,True,True,False,C
biomistral,MQ_0810,0.4188,False,False,False,A
biomistral,MQ_0417,0.4196,False,False,False,C
biomistral,MQ_0241,0.4239,False,False,False,A
biomistral,MQ_0572,0.425,True,False,False,B
biomistral,MQ_0198,0.4257,False,False,False,C
biomistral,MQ_0079,0.4267,False,False,False,B
biomistral,MQ_0263,0.4286,True,False,False,B
biomistral,MQ_0826,0.4302,True,False,True,B
biomistral,MQ_0424,0.4305,False,False,False,B
biomistral,MQ_0877,0.4327,False,False,False,A
biomistral,MQ_0985,0.4343,False,False,True,A
biomistral,MQ_0389,0.4356,False,False,False,D
biomistral,MQ_0167,0.4374,True,True,False,D
biomistral,MQ_0520,0.4376,False,False,False,A
biomistral,MQ_0521,0.4383,False,False,True,A
biomistral,MQ_0387,0.4404,False,False,False,B
biomistral,MQ_0742,0.4416,False,False,False,C
biomistral,MQ_0242,0.4426,False,False,False,C
biomistral,MQ_0330,0.4434,False,False,True,B
biomistral,MQ_0114,0.4443,True,False,True,C
biomistral,MQ_0659,0.4454,True,False,False,B
biomistral,MQ_0948,0.4459,False,False,False,C
biomistral,MQ_0821,0.4475,False,False,False,C
biomistral,MQ_0487,0.4487,False,False,False,A
biomistral,MQ_0113,0.4488,False,False,False,D
biomistral,MQ_0597,0.4499,False,False,False,D
biomistral,MQ_0916,0.4507,False,True,False,A
biomistral,MQ_0108,0.4524,True,False,False,D
biomistral,MQ_0549,0.4529,False,False,False,B
biomistral,MQ_0151,0.4547,False,False,False,B
biomistral,MQ_0062,0.456,True,False,False,A
biomistral,MQ_0327,0.4568,False,False,False,A
biomistral,MQ_0604,0.4579,False,False,False,C
biomistral,MQ_0067,0.4587,False,True,False,B
biomistral,MQ_0685,0.4624,False,False,True,C
biomistral,MQ_0774,0.4652,False,False,False,B
biomistral,MQ_0744,0.4653,True,True,False,D
biomistral,MQ_0593,0.4662,False,False,False,B
biomistral,MQ_0734,0.4666,False,False,False,C
biomistral,MQ_0469,0.467,False,False,False,B
biomistral,MQ_0587,0.4682,True,False,False,B
biomistral,MQ_0789,0.4682,True,False,False,A
biomistral,MQ_0141,0.4693,False,False,False,A
biomistral,MQ_0859,0.4711,False,False,False,A
biomistral,MQ_0289,0.4712,False,False,False,C
