model,question_id,dss,correct_alpha,correct_beta,correct_gamma,correct_answer
gemma3_12b,MQ_0098,0.5942,False,True,False,A
gemma3_12b,MQ_0270,0.5942,False,False,True,A
gemma3_12b,MQ_0357,0.5942,False,True,False,D
gemma3_12b,MQ_0606,0.5942,False,True,False,D
gemma3_12b,MQ_0663,0.5942,True,False,False,D
gemma3_12b,MQ_0835,0.5942,True,False,False,A
gemma3_12b,MQ_0035,0.6049,True,False,False,A
gemma3_12b,MQ_0402,0.6049,True,False,False,A
gemma3_12b,MQ_0446,0.6049,True,False,False,B
gemma3_12b,MQ_0495,0.6049,True,False,False,A
gemma3_12b,MQ_0552,0.6049,True,False,False,A
gemma3_12b,MQ_0721,0.6049,True,False,False,D
gemma3_12b,MQ_0837,0.6049,True,False,False,B
gemma3_12b,MQ_0018,0.6644,True,False,False,D
gemma3_12b,MQ_0065,0.6644,False,False,False,B
gemma3_12b,MQ_0072,0.6644,True,True,False,A
gemma3_12b,MQ_0085,0.6644,True,False,True,D
gemma3_12b,MQ_0092,0.6644,True,True,False,A
gemma3_12b,MQ_0099,0.6644,False,True,True,A
gemma3_12b,MQ_0108,0.6644,True,True,False,D
gemma3_12b,MQ_0145,0.6644,True,True,False,D
gemma3_12b,MQ_0174,0.6644,True,True,False,D
gemma3_12b,MQ_0250,0.6644,True,True,False,D
gemma3_12b,MQ_0298,0.6644,True,True,False,A
gemma3_12b,MQ_0301,0.6644,False,False,False,B
gemma3_12b,MQ_0315,0.6644,True,False,False,A
gemma3_12b,MQ_0316,0.6644,False,True,True,A
gemma3_12b,MQ_0321,0.6644,True,True,False,A
gemma3_12b,MQ_0335,0.6644,True,False,False,A
gemma3_12b,MQ_0339,0.6644,False,True,True,D
gemma3_12b,MQ_0352,0.6644,True,False,True,D
gemma3_12b,MQ_0369,0.6644,False,True,True,A
gemma3_12b,MQ_0379,0.6644,False,True,True,D
gemma3_12b,MQ_0436,0.6644,True,False,False,A
gemma3_12b,MQ_0475,0.6644,False,True,True,D
gemma3_12b,MQ_0476,0.6644,True,False,True,D
gemma3_12b,MQ_0478,0.6644,False,True,False,D
gemma3_12b,MQ_0500,0.6644,False,False,True,D
gemma3_12b,MQ_0514,0.6644,True,True,False,A
gemma3_12b,MQ_0523,0.6644,True,True,False,D
gemma3_12b,MQ_0538,0.6644,True,True,False,A
gemma3_12b,MQ_0539,0.6644,False,False,False,C
gemma3_12b,MQ_0579,0.6644,True,True,False,A
gemma3_12b,MQ_0593,0.6644,False,False,False,B
gemma3_12b,MQ_0640,0.6644,True,True,False,D
gemma3_12b,MQ_0641,0.6644,True,True,False,A
gemma3_12b,MQ_0695,0.6644,True,False,False,D
gemma3_12b,MQ_0725,0.6644,False,False,True,D
gemma3_12b,MQ_0759,0.6644,False,True,False,A
gemma3_12b,MQ_0776,0.6644,True,True,False,D
gemma3_12b,MQ_0777,0.6644,False,False,False,C
gemma3_12b,MQ_0790,0.6644,True,False,False,A
gemma3_12b,MQ_0833,0.6644,False,True,True,D
gemma3_12b,MQ_0869,0.6644,True,False,True,A
gemma3_12b,MQ_0882,0.6644,True,False,True,A
gemma3_12b,MQ_0919,0.6644,False,False,False,B
gemma3_12b,MQ_0920,0.6644,True,True,False,A
gemma3_12b,MQ_0926,0.6644,True,True,False,A
gemma3_12b,MQ_0939,0.6644,False,True,True,D
gemma3_12b,MQ_0943,0.6644,False,False,False,B
gemma3_12b,MQ_0967,0.6644,True,False,False,D
gemma3_12b,MQ_0969,0.6644,False,False,False,B
gemma3_12b,MQ_0144,0.6729,False,False,False,D
gemma3_12b,MQ_0176,0.6729,True,False,False,A
gemma3_12b,MQ_0366,0.6729,True,False,False,A
gemma3_12b,MQ_0400,0.6729,False,False,True,A
gemma3_12b,MQ_0639,0.6729,False,False,True,A
gemma3_12b,MQ_0730,0.6729,True,False,False,A
gemma3_12b,MQ_0955,0.6729,True,False,False,C
gemma3_12b,MQ_0150,0.6935,True,False,False,D
gemma3_12b,MQ_0360,0.6935,False,True,False,B
gemma3_12b,MQ_0363,0.6935,False,True,False,B
gemma3_12b,MQ_0391,0.6935,True,False,False,C
gemma3_12b,MQ_0417,0.6935,True,False,False,C
gemma3_12b,MQ_0546,0.6935,True,False,False,D
gemma3_12b,MQ_0628,0.6935,True,False,False,D
gemma3_12b,MQ_0652,0.6935,False,False,True,D
gemma3_12b,MQ_0667,0.6935,True,False,False,C
gemma3_12b,MQ_0788,0.6935,False,True,False,C
gemma3_12b,MQ_0909,0.6935,True,False,False,C
gemma3_12b,MQ_0983,0.6935,False,False,True,D
gemma3_12b,MQ_0986,0.6935,False,False,False,A
gemma3_12b,MQ_0055,0.757,True,False,False,A
gemma3_12b,MQ_0064,0.757,False,True,True,C
gemma3_12b,MQ_0078,0.757,True,False,True,A
gemma3_12b,MQ_0084,0.757,True,True,False,A
gemma3_12b,MQ_0087,0.757,False,True,True,C
gemma3_12b,MQ_0088,0.757,True,False,True,C
gemma3_12b,MQ_0097,0.757,True,False,False,C
gemma3_12b,MQ_0104,0.757,True,False,False,C
gemma3_12b,MQ_0115,0.757,True,True,False,A
gemma3_12b,MQ_0124,0.757,False,True,True,C
gemma3_12b,MQ_0141,0.757,False,True,False,A
gemma3_12b,MQ_0148,0.757,True,True,False,C
gemma3_12b,MQ_0170,0.757,False,False,False,D
gemma3_12b,MQ_0196,0.757,True,False,False,A
gemma3_12b,MQ_0209,0.757,True,True,False,A
gemma3_12b,MQ_0211,0.757,True,False,True,A
gemma3_12b,MQ_0251,0.757,True,True,False,A
gemma3_12b,MQ_0260,0.757,False,False,True,A
gemma3_12b,MQ_0267,0.757,True,False,True,C
gemma3_12b,MQ_0271,0.757,True,False,False,A
gemma3_12b,MQ_0272,0.757,False,False,False,B
gemma3_12b,MQ_0277,0.757,True,False,True,C
gemma3_12b,MQ_0292,0.757,True,False,False,C
gemma3_12b,MQ_0318,0.757,True,True,False,A
gemma3_12b,MQ_0382,0.757,False,False,False,B
gemma3_12b,MQ_0383,0.757,False,True,True,C
gemma3_12b,MQ_0422,0.757,True,False,False,C
gemma3_12b,MQ_0429,0.757,False,False,False,B
gemma3_12b,MQ_0435,0.757,False,False,False,D
gemma3_12b,MQ_0450,0.757,False,True,False,C
gemma3_12b,MQ_0460,0.757,True,True,False,A
gemma3_12b,MQ_0497,0.757,False,False,True,A
gemma3_12b,MQ_0501,0.757,True,False,False,C
gemma3_12b,MQ_0536,0.757,True,False,False,A
gemma3_12b,MQ_0582,0.757,False,False,True,A
gemma3_12b,MQ_0591,0.757,True,False,False,C
gemma3_12b,MQ_0594,0.757,True,True,False,C
gemma3_12b,MQ_0600,0.757,True,True,False,C
gemma3_12b,MQ_0649,0.757,True,False,True,C
gemma3_12b,MQ_0692,0.757,False,False,False,B
gemma3_12b,MQ_0698,0.757,False,False,False,D
gemma3_12b,MQ_0711,0.757,False,True,True,C
gemma3_12b,MQ_0750,0.757,False,False,False,D
gemma3_12b,MQ_0762,0.757,False,True,True,C
gemma3_12b,MQ_0763,0.757,True,True,False,C
gemma3_12b,MQ_0767,0.757,True,False,False,A
gemma3_12b,MQ_0771,0.757,True,False,True,C
gemma3_12b,MQ_0801,0.757,False,False,False,B
gemma3_12b,MQ_0813,0.757,False,False,False,B
gemma3_12b,MQ_0831,0.757,True,False,False,A
gemma3_12b,MQ_0879,0.757,True,False,True,A
gemma3_12b,MQ_0886,0.757,False,True,True,C
gemma3_12b,MQ_0953,0.757,True,False,True,C
gemma3_12b,MQ_0957,0.757,True,True,False,A
gemma3_12b,MQ_0960,0.757,True,False,True,A
gemma3_12b,MQ_0965,0.757,True,False,True,C
gemma3_12b,MQ_0968,0.757,True,True,False,A
gemma3_12b,MQ_0976,0.757,False,True,False,A
gemma3_12b,MQ_0989,0.757,True,True,False,C
gemma3_12b,MQ_0025,0.7571,False,False,False,C
gemma3_12b,MQ_0135,0.7571,True,False,True,B
gemma3_12b,MQ_0137,0.7571,True,False,True,B
gemma3_12b,MQ_0146,0.7571,False,False,False,D
gemma3_12b,MQ_0171,0.7571,True,False,False,A
gemma3_12b,MQ_0187,0.7571,True,True,False,A
gemma3_12b,MQ_0201,0.7571,False,True,True,A
gemma3_12b,MQ_0206,0.7571,False,False,True,B
gemma3_12b,MQ_0216,0.7571,False,False,False,D
gemma3_12b,MQ_0225,0.7571,False,False,False,D
gemma3_12b,MQ_0233,0.7571,True,False,False,A
gemma3_12b,MQ_0247,0.7571,True,True,False,A
gemma3_12b,MQ_0266,0.7571,False,False,False,D
gemma3_12b,MQ_0268,0.7571,True,False,False,A
gemma3_12b,MQ_0302,0.7571,False,True,True,A
gemma3_12b,MQ_0314,0.7571,False,False,False,C
gemma3_12b,MQ_0327,0.7571,False,True,True,A
gemma3_12b,MQ_0345,0.7571,False,True,False,A
gemma3_12b,MQ_0346,0.7571,True,False,False,A
gemma3_12b,MQ_0362,0.7571,True,False,True,B
gemma3_12b,MQ_0395,0.7571,True,False,True,B
gemma3_12b,MQ_0404,0.7571,False,True,False,B
gemma3_12b,MQ_0409,0.7571,True,False,True,A
gemma3_12b,MQ_0433,0.7571,True,True,False,A
gemma3_12b,MQ_0439,0.7571,False,False,False,D
gemma3_12b,MQ_0451,0.7571,True,True,False,B
gemma3_12b,MQ_0468,0.7571,False,True,True,A
gemma3_12b,MQ_0471,0.7571,False,True,True,A
gemma3_12b,MQ_0479,0.7571,True,True,False,B
gemma3_12b,MQ_0481,0.7571,True,True,False,B
gemma3_12b,MQ_0499,0.7571,False,False,False,D
gemma3_12b,MQ_0502,0.7571,False,True,True,B
gemma3_12b,MQ_0515,0.7571,False,False,False,D
gemma3_12b,MQ_0544,0.7571,False,True,True,A
gemma3_12b,MQ_0571,0.7571,True,False,True,B
gemma3_12b,MQ_0602,0.7571,True,True,False,B
gemma3_12b,MQ_0620,0.7571,False,True,False,A
gemma3_12b,MQ_0634,0.7571,False,False,False,C
gemma3_12b,MQ_0700,0.7571,False,False,True,B
gemma3_12b,MQ_0717,0.7571,True,False,False,B
gemma3_12b,MQ_0740,0.7571,True,True,False,A
gemma3_12b,MQ_0789,0.7571,True,True,False,A
gemma3_12b,MQ_0825,0.7571,False,True,False,A
gemma3_12b,MQ_0880,0.7571,True,True,False,B
gemma3_12b,MQ_0881,0.7571,True,True,False,A
gemma3_12b,MQ_0883,0.7571,False,False,True,A
gemma3_12b,MQ_0884,0.7571,False,False,False,C
gemma3_12b,MQ_0898,0.7571,True,False,False,A
gemma3_12b,MQ_0928,0.7571,True,True,False,B
gemma3_12b,MQ_0945,0.7571,False,False,True,A
gemma3_12b,MQ_0961,0.7571,True,True,False,A
gemma3_12b,MQ_0987,0.7571,True,True,False,A
gemma3_12b,MQ_0990,0.7571,True,True,False,A
gemma3_12b,MQ_0991,0.7571,True,False,False,B
gemma3_12b,MQ_0002,0.767,True,False,False,C
gemma3_12b,MQ_0014,0.767,True,False,True,D
gemma3_12b,MQ_0037,0.767,True,False,True,C
gemma3_12b,MQ_0063,0.767,False,False,False,B
gemma3_12b,MQ_0068,0.767,False,True,False,D
gemma3_12b,MQ_0090,0.767,False,False,True,D
gemma3_12b,MQ_0110,0.767,False,True,True,D
gemma3_12b,MQ_0112,0.767,False,True,True,C
gemma3_12b,MQ_0120,0.767,False,True,False,D
gemma3_12b,MQ_0153,0.767,True,False,True,D
gemma3_12b,MQ_0158,0.767,False,False,True,C
gemma3_12b,MQ_0195,0.767,True,False,True,C
gemma3_12b,MQ_0229,0.767,True,False,True,D
